ID,NAME,LATITUDE,LONGITUDE,TYPE,FAC TYPE,ADDRESS,DESCR,IMG
19,Grand Trunk Fitness and Leisure Centre,53.58975717,-113.5125246,Recreation Facility,1,13025 112 Street,"AQUATIC: 25 metre gradual depth swimming pool, Shallow water family area, Whirlpool, Steam room, Diving boards (1m), Waterslide (deep water landing), Slides, Pool toys. FACILITY: Regular and family change rooms, Sundeck, Fitness centre, Fitness monitoring, Fitness appraisals, Personal training, Exercise consultation, Massage/physiotherapy, Meeting rooms, Indoor ice arena, Complimentary wallet and purse lockers in lobby. OUTDOOR: Tennis courts, Basketball courts, Baseball diamonds, Sports fields.",
20,Hardisty Fitness and Leisure Centre,53.54916118,-113.4307932,Recreation Facility,1,10535 65 Street,"AQUATIC: 25 metre swimming pool (6 lanes), Whirlpool, Steam room, Sauna, Slide, Swing rope, Spectator seating. FACILITY: Regular and family change rooms, Fitness centre, Fitness appraisals, Personal training, Exercise consultation, Complimentary wallet and purse lockers in lobby.",
21,JP Annex,53.52704696,-113.6044477,Attraction,1,9200 163 Street,,
22,Jasper Place Fitness and Leisure Centre,53.52678358,-113.6038571,Recreation Facility,1,9200 163 Street,,
23,John Janzen Nature Centre,53.50230742,-113.5726795,Attraction,1,7000 143 Street,"A gateway to the heart of Edmontonês River Valley, the newly-renovated John Janzen Nature Centre takes visitors for a walk on the wild side with programs, events and interactive exhibits designed to promote awareness and engagement with nature in an urban setting.",
24,John Walter Museum,53.52801021,-113.5056915,Attraction,1,9180 Walterdale Hill,"John Walter Museum is a small facility that interprets the life of John Walter and the Strathcona community from 1875 to 1915. It tells the story of a rugged Scot from the Orkney Islands, John Walter, who came to Canada in 1870 to build York boats for the Hudsonês Bay Company. Five years later he acquired a homestead and became one of Edmontonês wealthiest citizens. The wind of good fortune changed in 1915 when the North Saskatchewan River flooded the valley destroying his business empire. John Walter died five years later without recovering his losses. These buildings have seen Edmonton grow from a Fur Trading Post to a large City.",
25,Kenilworth Arena,53.51937022,-113.4309641,Arena,1,8311 68A Street,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 200, plus 324 standing, Safety netting protecting viewing area, 4 dressing rooms - 1 shower per 2 dressing rooms, Designated warm-up area - #5 change room, Skate sharpening machine, Concession, Vending machines.",
26,Kinsmen Sports Centre,53.52672145,-113.5081455,Recreation Facility,1,9100 Walterdale Hill,"AQUATICS: 50 metre competitive tank swimming pool (Depth: 2 metre), 50 metre swimming pool (convertible to 2 X 25 metre format, Depth: 1 - 1.3m), Warm water teach pool (Depth: 0.9m), Dive tank  (Depth: 4.9m), Diving boards and Platforms (1m, 3m, 5m, 7.5m, 10m), Queen Elizabeth Outdoor Pool (seasonal). AQUATIC CLUBS: There are 4 aquatic clubs operating out of offices at the Kinsmen Sports Centre: Edmonton Aurora Synchro, Edmonton Keyano Swim Club, Edmonton Springboard and Platform Diving Club, Sport for Life. FIELD HOUSE: 2 volleyball / basketball courts, 3 indoor tennis courts, 3 regulation badminton courts, 2 North American squash courts, 2 racquetball courts, Batting cage, TRX Cross-training area, 2 fitness centres (cardio upper, weights lower), 2 running tracks. FACILITY: Change rooms, Sauna, Indoor playground, Kid's Den, Kin Kids fitness centre, Keltie Byrne fitness centre, Fitness monitoring, Fitness appraisals, Personal training, Exercise consultation, Program studio, 3 meeting rooms, eZone public wireless internet connection, Complimentary wallet and purse lockers in lobby, Kinsmen Massage Therapy, Kinsmen Sports Centre Physical Therapy Clinic, Moo's Healthy Food Fast, Running Room. OUTDOOR: Tennis courts, Queen Elizabeth Outdoor Pool (seasonal), Spray park (seasonal), Playground, Sports fields.",
27,Kinsmen Twin Arenas,53.45162681,-113.5132598,Arena,1,1979 111 Street,"KINSMEN ARENA A: Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 400 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 large dressing rooms, 1 extra large wheelchair accessible dressing room. KINSMEN ARENA B: Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 200 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 large dressing rooms.",
28,Londonderry Arena,53.60768769,-113.445244,Arena,1,14520 66 Street,"Ice surface: 200 feet x 85 feet (60.96 x 25.91 metres), Seating for 450 plus 75 standing, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms - 1 shower per 2 dressing rooms, Designated warm-up area, Concession, Vending machines.",
29,Londonderry Fitness and Leisure Centre,53.60735803,-113.444563,Recreation Facility,1,14528 66 Street,"AQUATIC: 25 metre gradual depth swimming pool (Depth: 0.4 - 3.0m), Whirlpool, Warm water teach pool, Steam room, Sauna, Waterslides (deep landing), Kids' slide, Pool toys, Zero depth edge. FACILITY: Regular and family change rooms, Disabled lift (elevator), Sundeck, Fitness centre, Studio, Fitness monitoring, by Elite Spa, Fitness & Therapy, Fitness appraisals, Personal training, Exercise consultation, Cafeteria (catering capacity), Indoor ice arena, Meeting rooms, Kitchen facilities (for room bookings - sink only), Complimentary wallet and purse lockers in lobby. OUTDOOR: Tennis courts, Sports fields, Running track.",
30,Michael Cameron Arena,53.54685697,-113.4242494,Arena,1,10404 56 Street,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 110, plus 240 standing, Safety netting protecting viewing area, 4 dressing rooms - no showers, Vending machines, Skate sharpening machine.",
31,Mill Creek Outdoor Swimming Pool,53.51969176,-113.4741917,Outdoor Pool,1,9555 84 Avenue,"L shape: 30.5 m swimming pool and 13 m adjacent pool, Regular change rooms, Complimentary wallet lockers for your valuables, Giant aquatic inflatables, Kids slide, Sundeck, picnic tables, Concession, Surrounding parkland and trails.",
32,Mill Woods Recreation Centre,53.45714715,-113.4445078,Recreation Facility,1,7207 28 Avenue,"AQUATIC: 45 metre swimming pool with waves (Depth: 0-2.4m), Whirlpool, Warm water teach pool (Depth: 0.3m), Sauna, Dive tank (Depth: 3.8m), Diving boards (1m), Waterslide (deep water landing), Swing rope, Slides, Pool toys, Zero depth edge. FACILITY: Regular and family change rooms, Indoor playground, Fitness centre, Fitness monitoring, Fitness appraisals, Personal training, Exercise consultation, Racquet courts, Cafeteria (catering capacity), Meeting rooms, Indoor ice arena, eZone public wireless internet connection, Complimentary wallet and purse lockers in lobby. OUTDOOR: Tennis courts, Sports fields, Running track.",
33,Muttart Conservatory,53.53526566,-113.4776076,Attraction,1,9626 96A Street,"One of Edmontonês most iconic structures, the Muttart Conservatory offers a year-round escape into the beauty of the worldês plant life. Vibrant, colourful, tranquil and inspirational, the pyramidsê display gardens are a welcome oasis for all. The four pyramids of the Muttart Conservatory are home to thousands of species of plants. Each pyramid maintains a distinct environment, representing different biomes of the world.",
34,O'Leary Fitness and Leisure Centre,53.59321687,-113.4769304,Recreation Facility,1,8804 132 Avenue,"AQUATIC: 25 metre gradual depth swimming pool (6 lanes, Depth: 1.15-1.44m), Whirlpool, Shallow water teach pool (Depth: 0.3-0.5m), Water spray features, Steam room, Dive tank (Depth: 3.93m), Diving boards (1m, 3m, or 5m), Waterslide (shallow landing), Pool toys, Swing rope. FACILITY: Regular and family change rooms, Sundeck, Indoor playground, Fitness centre, Fitness monitoring by Elite Spa Fitness & Therapy, Fitness appraisals, Personal training, Exercise consultation, Meeting rooms, Barbeque, Kitchen facilities (for room bookings), Complimentary wallet and purse lockers in lobby.",
35,Oliver Arena,53.54594678,-113.5265685,Arena,1,10335 119 Street,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 50, plus 50 standing, Safety netting protecting viewing area, 4 dressing rooms - 1 shower per room, Skate sharpening machine, Vending machines.",
36,Oliver Outdoor Swimming Pool,53.54523862,-113.5266562,Outdoor Pool,1,10315 119 Street,"30.5 metre swimming pool, Regular change rooms, Complimentary wallet lockers for your valuables, Giant aquatic inflatables, Deep water slide, Sundeck, picnic tables, Concession, Neighbouring playground.",
37,Peter Hemingway Fitness and Leisure Centre,53.5600032,-113.5607944,Recreation Facility,1,13808 111 Avenue,"AQUATIC: 50 metre swimming pool (8 lanes with starting blocks, Depth: 1-2.7m), Whirlpool, Steam room, Sauna, Pool toys, Large spectator seating area. FACILITY: Regular and family change rooms, Fitness centre, Fitness monitoring, Fitness appraisals, Personal training, Exercise consultation, Indoor ice arena, Complimentary wallet and purse lockers in lobby. OUTDOOR: Tennis courts, Sports fields.",
38,Prince of Wales Armouries Heritage Centre,53.55432318,-113.4995091,Attraction,1,10440 108 Avenue,"The City of Edmonton Archives resides in the Prince of Wales Armouries Heritage Centre. The Archives is a public research facility housing civic government and private records documenting Edmonton's history. The Archives houses archival materials including paper records, oral history tapes, photographs, film, video recordings, computer records, correspondence, diaries, and personal history. Our patrons include professional historians, writers, artists, educators, students, media, genealogists, provincial and civic government employees, engineers, and environmentalists. Everyone is welcome to use our research room and enjoy the changing exhibits in the public areas of the building. Our collection includes the following: Over 250,000 historical photographs dating back to the 1880s, Over 260 current and historical maps of the Edmonton area dating from 1882, Microfilm copies of early and current Edmonton newspapers, Civic government records dating back to 1892.",
39,Queen Elizabeth Outdoor Swimming Pool,53.5241694,-113.5002814,Outdoor Pool,1,9100 Walterdale Hill,"6-lane, 25-metre pool with a zero depth entry, Children's spray park, Sun deck, Universal access change room similar to a family change room with private individual and family/disabled change cubicles, Segregated male and female washrooms, Showers and lockers on the pool deck, First-aid room, Concession.",
40,Russ Barnes Arena,53.57497055,-113.4464072,Arena,1,6725 121 Avenue,"Ice surface: 190 feet x 81 feet (57.91 x 24.69 metres), Seating for 640 plus 120 standing, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms - 1 shower per 2 dressing rooms, Skate sharpening machine, Concession, Vending machines.",
41,South Side Arena,53.50828961,-113.5020562,Arena,1,10525 72 Avenue,"Ice surface: 185 feet x 85 feet (56.39 x 25.91 metres), Seating for 1 100 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms - 1 shower per 2 dressing rooms, Skate sharpening machine, Concession, Vending machines.",
42,Telus World of Science Edmonton,53.56059901,-113.56338,Attraction,1,11211 142 Street,"Thereês nothing quite like TELUS World of Science - Edmonton. Our Mission is to create a positive science and technology culture in our region that inspires and motivates people to learn about, and contribute to, science and technology advances that strengthen themselves, their families, and their community.",
43,Terwilleger Community Recreation Centre,53.45937189,-113.5830633,Recreation Facility,1,2051 Leger Road,"AQUATIC CENTRE: Pool with 8 53-metre lanes, 1 & 3 metre diving boards, and a 5 metre diving platform (Depth: 0-3.8m), Leisure and wave pool with spray features (Depth: 0-1.8m), Whirlpool for 30 people, Lazy river and waterslide, Tot pool with ramp access (Depth: 0.6-0.75m), Steam room for 18 people. FITNESS CENTRE AND TRACK: State-of-the-art exercise equipment, 2 program studios, 206 metre indoor walking/jogging track, REALTY EXECUTIVES FLEXI-HALL: Flexi-hall with 3 full-sized gymnasiums. ARENA: 4 NHL-sized ice sheets including Realty Executives sponsored Rink B, 20 dressing rooms, Room for up to 710 spectators in Rink #1 (between 200-260 spectators in the other 3 rinks). CHILDRENêS WING: Indoor playground, Child-minding services, 3 children's programming rooms. COMERCIAL SPACES: Rejuvination Health Services, DQ Orange Julius, Second Cup, Running Room.",
44,Tipton Arena,53.51692895,-113.5116535,Arena,1,10828 80 Avenue,"Ice surface: 190 feet x 85 feet (57.91 x 25.91 metres), Seating for 350 spectators, Safety netting protecting viewing area, 4 dressing rooms - 1 shower per 2 dressing rooms, Vending machines, Skate sharpening machine.",
45,Valley Zoo,53.51240754,-113.5558644,Attraction,1,13315 Buena Vista Road,"The Edmonton Valley Zoo is home to over 350 animals, with a full range of species from different climates and habitats ã all here for you to discover, learn about and appreciate.",
46,Westwood Arena,53.57474879,-113.4933484,Arena,1,12040 97 Street,"Ice surface: 176 feet x 80 feet (53.64 x 24.38 metres), Seating for 200 spectators, Safety netting protecting viewing area, Summer ice capabilities, 4 dressing rooms - 1 shower per 2 dressing rooms, Skate sharpening machine, Vending machines, Large lobby. NOTE: No designated warm-up area.",
